"Art_ID","Par_ID","Paragraph"
1,1,"Campbell River RCMP are investigating after Thursday night's fire at the local Walmart."
1,2,"Fire Investigators, Forensic Identification Units and the Major Crimes Unit have determined that the fire was intentionally set as a distraction for a significant theft from the store. Investigators have not released a description of what was taken or its value."
1,3,"This crime was extremely serious and costly in nature, said Const. Maury Tyre. The damage to the building and it's goods is yet to be fully assessed, but it's safe to say that there are extensive monetary damages."
1,4,"RCMP have also released a description of their suspect. According to a press release, RCMP are looking for a male who was wearing a grey jacket, black pants which could be cargo pants, a two tone possibly grey and black ball cap and black sneakers with white soles."
1,5,"Investigators are processing video and forensic evidence. RCMP hope to have further information to release to the public in the next few days, including photos of the suspect."
1,6,"Crimes like these have far reaching effects that most criminals don't even think of,"" Tyre said. ""The financial damage it can do to employees while a location is closed isn't a trivial matter and the sheer costs of cleanup and replacement of goods drive insurance costs higher which drive costs to consumers higher in the long run. Fortunately nobody was injured as a result of the fire, but this suspect put lives of customer's, staff, and fire crews at risk. Really the entire community should wish to see this person brought to justice."
1,7,"Though the store is closed for the foreseeable future, pharmacy patients can have orders processed at the nearest Walmart location in Courtenay, the RCMP said."
1,8,"Anyone with information on the crime are asked to contact the Campbell River RCMP at 250-286-6221. The public is reminded that the RCMP's Facebook page is not a platform for reports or tips, and that information shared with police should not be shared over social media."
1,9,"RELATED: Fire breaks out in Campbell River Walmart"
1,10,"marc.kitteringham@campbellrivermirror.comLike us on Facebook and follow us on Twitter"
3,21,"THE billionaire brothers behind petrol forecourt firm EG Group and private equity firm TDR Capital have won the £6.8 billion takeover battle for supermarket giant Asda."
3,22,"Walmart, the supermarket chain's US owner, has accepted a bid led by Lancashire brothers Mohsin and Zuber Issa following a lengthy auction process."
3,23,"Walmart will retain a minority stake in Asda as part of the agreement. The new owners have committed to keeping the retailer's headquarters in Leeds and has said it will invest to grow its convenience and online operations."
3,24,"It comes more than a year after a proposed merger between Asda and UK supermarket rival Sainsbury's was torpedoed by regulators. Asda has seen its fortunes improve recently with trading strengthening through 2020, as shoppers have spent more money on groceries during the pandemic. In the quarter to June, Asda saw online sales double but the new owners will be tasked with expanding its digital business further to take advantage of soaring demand and make ground on rivals, such as Tesco, who have a larger slice of the market."
3,25,"The new owners will also face the challenge of keeping prices low amid tough economic conditions for shoppers and potential new tariffs on EU-imported foods, with the other big four supermarkets all announcing a raft of price cuts in recent months."
3,26,"EG Group has sealed the deal after its offer was favoured by Walmart ahead of a move by US private equity firm Apollo."
3,27,"Last week, a third bid from Lone Star Funds, fronted by former Asda executive Paul Mason, was dropped after failing to meet the price of its rivals during the latter stage of bidding."
3,28,"Walmart sought a sale after the UK's competition regulator blocked its merger with Sainsbury's amid fears the move would push up prices and reduce product quality. The US grocery started new discussions over a sale of Asda in February, but saw these halted due to disruption as a result of the pandemic."
3,29,"However, the auction process restarted in July as Walmart sought to exit the UK, 21 years after first purchasing the Leedsbased retailer."
3,30,"Blackburn-based EG Group, formerly known as Euro Garages, already runs forecourt convenience stores for Spar and French hypermarket chain Carrefour. The deal will have to pass through regulators, although it is expected to be given the green light."
3,31,"Last week, EG Group announced a trial involving three ""Asda on the Move"" convenience stores at its petrol forecourts."
3,32,"TDR Capital, which also owns the UK's largest pub group Stonegate, owns a 50 per cent stake in EG Group, sharing ownership with the Issa brothers."
4,33,"Asda Q3 results for the UK supermarket chain. U.S. parent company Walmart, the world's biggest retailer by revenue, also announces its Q3 results."
4,34," It was announced in October that the Issa brothers and TDR Capital are acquiring a majority ownership stake in Asda, with Walmart retaining an equity investment in the business. The transaction is expected to complete in the first half of 2021"
4,35,"Event Start Date: 2020-11-17"
4,36,"Event End Date: 2020-11-17"
4,37,"Event URL: corporate.walmart.com"
5,38,"Walmart and IBM conducted a pilot test on Walmart's mango and pork value chains to verify the potential of blockchain technology to facilitate food traceability, support food safety controls, and ensure food authenticity, according to an FAO report."
5,39,"From the beginning, Walmart decided to test the project with fresh mangoes from Mexico due to the complexity of the value chain."
5,40,"Using blockchain technology reduced the time it takes to trace the origin of a prepackaged slice of handles from nearly seven days to 2.2 seconds."
5,41,"According to FAO, technology allowed actors in the value chain to identify the exact path the product took from the farm to the store."
5,42,"The blockchain solution also allowed Walmart to track the speed at which handles moved through the supply chain and identify where the delays occurred."
5,43,"Walmart and logistics"
5,44,"In the People's Republic of China, Walmart used blockchain technology to ensure the origin and authenticity of pork."
5,45,"The country has experienced strong and sustained demand for pork over the years, and blockchain pilot technology successfully increased transparency and addressed consumer confidence issues."
5,46,"The pilot resulted in additional benefits, such as a reduction in the time required to access veterinary certificates, as well as greater confidence in veterinary control."
5,47,"There are many more initiatives underway in agri-food value chains to test blockchain usage to solve traceability challenges."
5,48,"For example, Carrefour developed a blockchain for its branded chicken, providing consumers with more information on poultry farming and supply chain."
5,49,"Another company, Bext360, is working to apply blockchain solutions to the coffee sector to track coffee beans from producer to consumers."
5,50," "
6,51,"A pair of suspects are being sought by the Fort Saskatchewan RCMP after an alleged theft at that city's Walmart."
6,52,"Investigators said it happened on Saturday, Sept. 12 when a report came in about two shoppers filling a cart and leaving without paying."
6,53,"RCMP said they were told the duo piled up the groceries in a cart and also grabbed some camera supplies and then left the store without paying."
6,54,"The suspects were both males but no names or ages are known at this point."
6,55,"RCMP said one suspect had short black hair, had a pierced left ear and was wearing dark pants, a red/black/blue jacket and had a grey string backpack."
6,56,"The other suspect was a white male who had a neck/chest tattoo. He was wearing a black or grey hat, a dark button-up shirt, a belt with a large belt buckle and dark pants."
6,57,"Details are scarce in the case but RCMP are hoping someone knows the suspects or has any tips in the case."
6,58,"RCMP are appealing for anyone with information to come forward or report it to them."
6,59,"You can contact Fort Saskatchewan RCMP at 780-997-7900 or if you wish to submit your tip anonymously, you can call Crime Stoppers at 1-800-222-8477 (TIPS), submit it online at tipsubmit.com or report it on the Crime Stoppers app."
6,60,"tdosser@postmedia.com"
6,61,"twitter.com/travisdosser"
7,62,"Oct. 02-- Oct. 2--QUEENSBURY -- A third Walmart employee at the Route 9 store in Queensbury has tested positive for coronavirus."
7,63,"This worker was at the store from 11 a.m. to 8 p.m. on Sept. 26, Sept. 27 and Sept. 28."
7,64,"The worker, like the previous two, had ""limited"" interaction with the public, according to Warren County Health Services."
7,65,"It was described as a ""low-risk"" community exposure, but people who were in the store when the worker was there are asked to monitor themselves for signs of the virus. That includes fever, cough, headache and loss of sense of taste or smell."
7,66,"Anyone who develops symptoms should call their medical provider or public health. Warren County Health Services can be reached at 518-761-6580."
7,67,"The other two workers with COVID-19 were at the store from Sept. 17 to Sept. 25."
7,68,"Warren County Health Services Director Ginelle Jones said Walmart management is ""working closely"" with Health Services staff to identify those who should be quarantined."
7,69,"___ (c)2020 The Post Star (Glens Falls, N.Y.) Visit The Post Star (Glens Falls, N.Y.) at www.poststar.com Distributed by Tribune Content Agency, LLC."
8,70,"LONDON - Walmart Inc has agreed to sell its British supermarket chain Asda to private equity group TDR Capital and the founders of petrol station operator EG Group for 6.8 billion pounds ($8.8 billion), it said on Friday."
8,71,"Chief Executive Roger Burnley will continue to lead the company. ($1 = 0.7744 pounds) (Reporting by Kate Holton; editing by Michael Holden) !@COPYRIGHT=© 2020 Postmedia Network Inc. All rights reserved."
9,72,"A trip to Walmart might soon remind you of shopping on the retailer's app."
9,73,"Walmart unveiled a reimagined store design Wednesday rolling out to 200 locations this fiscal year, which ends in early 2021, and 1,000 by next fiscal year that officials said will create a ""seamless"" omni shopping experience with more self-checkout kiosks and contactless payment options."
9,74,"Janey Whiteside, the retailer's chief customer officer, said the design was planned before the coronavirus pandemic and one of the goals is to save shoppers time."
9,75,"""We're working hard to make it easy for customers to be able to toggle between their physical experiences that are in the store and their digital journeys,"" Whiteside told USA TODAY. ""We think customers are going to really enjoy and find this a much easier shopping experience."""
9,76,"Whiteside said Walmart tested the redesign in select stores in Arkansas and it evolved based on shopper and employee feedback. She said the design will come to more stores this fall and will continue to evolve based on feedback."
9,77,"""By the end of this fiscal year, the experience will be in nearly 200 Supercenters as well as in select Health Centers and Neighborhood Markets, reaching close to 1,000 stores by next fiscal year,"" Whiteside said in a blog post."
9,78,"Walmart's reimagined store design"
9,79,"Whiteside said the design was inspired by ""airport wayfinding systems as best-in-class examples of how to navigate large groups of people."""
9,80,"Signs inside and outside stores will be updated to reflect the Walmart app icon, and visual reminders will encourage shoppers to download the app and use its item finder and map to navigate around the store."
9,81,"The design focuses ""on getting what you want as quickly as possible, so you're not endlessly walking up and down aisles looking for items,"" Whiteside said. The layout will bring greater visibility to sections dedicated to electronics, toys, baby products and more."
9,82,"Self-checkout kiosks will use contactless payment, including Walmart Pay, ""to limit contact between associates and customers,"" Whiteside said."
9,83,"Select locations will have Scan & Go, part of the new Walmart+ membership program, she said in the blog post. The in-store feature will allow shoppers to scan items as they shop, then pay using Walmart Pay."
9,84,"Contactless payment, item finder"
9,85,"Regardless of whether your Walmart is one of the first to get redesigned, there are some features available to all shoppers using the app, including the item finder with the maps and Walmart Pay options."
9,86,"A few months ago, Walmart combined its Walmart Grocery app with its main app to allow consumers to shop for items in multiple departments, much like a trip to one of the company's Supercenter stores."
9,87,"Until the upgrade, shoppers could pick up groceries only at curbside but were able to order items from other departments for pickup in the store. The pandemic sped up Walmart's plans to integrate the apps because of a surge in online and mobile shopping, Whiteside said."
9,88,"Whiteside said COVID-19 advanced plans for the store design rollout and contactless efforts. Customer interest and ease using contactless options has increased, she said."
9,89,"""Whether you get the redesign now, next year or moving forward, you'll still have access to Walmart+, Scan & Go, the delivery options,"" Whiteside said. ""This will just be another supporting aspect of that."" "
10,90,"Labor Law"
10,91,"Walmart has agreed to pay $20 million to settle a companywide hiring lawsuit filed against the retail giant by the Equal Employment Opportunity Commission alleging sex discrimination."
10,92," At issue was Walmart requiring applicants to successfully complete a physical agility test when applying to be an ""order filler"" at its grocery distribution centers nationwide. The test disproportionately excluded female applicants, resulting in disparate impact on women."
10,93," When a pre-employment test results in a disparate impact, the employer must show that the test is necessary for the safe and efficient performance of the specific job, and that there are not alternative practices that can achieve the employer's objectives but have a less discriminatory effect."
10,94," In announcing the settlement earlier this month, the EEOC said: ""One of the EEOC's six national priorities is eliminating barriers in recruitment and hiring. Employers need to ensure their testing and screening practices do not discriminate against any group."""
10,95," In addition to the financial settlement, Walmart agreed to cease all physical agility testing for the position."
10,96," This case is a reminder that even where a business has not engaged in intentional discrimination, its policies and practices may inadvertently cause individuals to be denied opportunities in violation of discrimination laws."
10,97," Most companies appropriately set forth policies and procedures to prevent explicit discrimination and bias. As the nation continues dialogue on implicit bias, employers should do more to uncover the implicit bias preventing individuals from advancement."
10,98," Employers should be testing every aspect of their employment practices to determine if and where people of color, women, those with disabilities and others fall out of the system. Employers should be examining hiring practices, promotions, compensation, and other benefits."
10,99," In doing so, businesses should carefully examine criteria currently being required, but which might not be necessary for the successful performance of the position, such as degrees or certifications."
10,100," In addition, employers should carefully examine any pre-employment testing (be it physical or otherwise) to make sure that the test is validated for that specific position, and that the criteria is properly administered."
10,101," Sometimes, for example, a test is validated for one position if the person scores above 70 and then the employer may arbitrarily increase the criteria to a passing score of 80, thus resulting in a disparate impact without a legitimate criterion being applied."
10,102," The process to uncovering these types of potential biases begins with intentional planning and assessment. Employers should review each job description, hiring practice, promotional opportunity, compensation practices and similar employment benefits to determine whether the established criteria are necessary for the successful performance of the role. Then, remove unnecessary and non-essential criterion that create barriers, thus promoting and creating equal opportunities."
10,103," Removing unnecessary barriers and stereotypes in the hiring and promotions process will bring employers closer to achieving the necessary equity within organizations."
10,104," Karen Michael is an attorney with Richmond-based KarenMichael PLC. She can be reached at kmichael@karenmichaelconsulting.com"
10,105,"Graphic"
10,106," "
10,107,"RTD Metro Business law columnist, Karen Michael. P. KEVIN MORLEY/TIMES-DISPATCH///////// RTD Metro Business law columnist, Karen Michael. P. KEVIN MORLEY/TIMES-DISPATCH/////////"
12,126,"Walmart plans to redesign hundreds of its stores in the coming months"
12,127,"Airport-inspired layout is designed to streamline the shopping experience"
12,128,"Customers will be encouraged to use the app to shop for items in the store"
12,129,"App will then guide them to the aisle where the product they chose is located"
12,130,"Shoppers could then check out using 'Scan and Go' payment option via phone"
12,131,"Walmart is also offering customers a specially designated pickup option"
12,132,"Retailer hopes its Walmart + app will be competitor to rival Amazon and its Prime"
12,133,"New redesign will be rolled out to 200 stores by early next year, Walmart says"
12,134,"Walmart, America's largest retailer, is changing the shopping experience at its stores in preparation for the coming holiday season by redesigning its locations in the mold of an airport terminal that would be navigated by using its app."
12,135,"The company announced last week that it was revamping the layout and signage of its locations to speed up shopping during the COVID-19 pandemic and better cater to smartphone-armed customers."
12,136,"The Bentonville, Arkansas-based giant said that the look, which includes signs with bold dimensional typeface spotlighting sections, is currently in one store. "
12,137,"Walmart Supercenter in Springdale, Arkansas, is the only store that has implemented the new layout. "
12,138,"It will be rolled out to 200 stores by early next year with plans to add another 800 stores by early 2022. "
12,139,"Walmart says it was working on a new store layout a year ago. "
12,140,"But the pandemic accelerated those efforts as customers are increasingly focused on contactless shopping amid safety concerns."
12,141,"'We were inspired by airport wayfinding systems as best-in-class examples of how to navigate large groups of people,' says Janey Whiteside, executive vice president and chief customer officer at Walmart's US division, in a corporate blog."
12,142," HOW CUSTOMERS WILL SHOP AT WALMART'S REDESIGNED STORES "
12,143,"Walmart's reconfigured stores are designed in a way to encourage customers to download its smartphone app before setting foot inside."
12,144,"Shoppers could then use the app to browse the items they are looking for in the various departments."
12,145,"After picking an item, customers would then be guided by a map to the specific aisle where the product they chose is located."
12,146,"Shoppers will be able to pay for the item via the contactless checkout or through the app."
12,147,"For those who come to Walmart locations without using the app, the new, larger signage around the store is designed to make it easier to navigate the aisles and speed up the shopping experience. "
12,148,"Walmart customers will also have the option of ordering their items at home and then driving to a specially marked pickup lot near the store where an associate would load the purchased products into the trunk of the vehicle. "
12,149,"For those who prefer to stay home and have their groceries and other items delivered, Walmart offers customers the option of paying a $98-a-year annual membership."
12,150,"That entitles the customer to free, unlimited delivery - though only for purchases that are a minimum of $35. "
12,151,"The membership with Walmart + is part of the retailer's strategy of competing head-to-head with its main rival, Amazon, and its subscription service Amazon Prime."
12,152,"Amazon is worth $1.58trillion - or more than four times Walmart's market capitalization. A major reason is Amazon Prime. "
12,153,"For $119 annually, Amazon Prime members who number some 150 million people worldwide get free, unlimited express delivery of groceries and other items as well as other perks, including digital media content and discounts at Amazon-owned Whole Foods. "
12,154,"Walmart + intends to introduce more perks to its members, including discounts at gas stations as well as online, family-friendly entertainment video content."
12,155,"As part of the overall signage, the exterior and interior of the stores will reflect the Walmart app icon. "
12,156,"As customers enter the store, they will see colorful iconography and a store directory that encourages them to download and use the Walmart app while they shop. "
12,157,"It says its aisles will feature letter and number combinations to guide customers from phone to products."
